image_name,vehicle_class,start_date,expiry_date,confidence,rotation_angle
374033.jpg,D1,18.12.2012,25.01.2029,0.9941607117652893,270
374033.jpg,D,,,0.0,270
374033.jpg,DE,,,0.0,270
374033.jpg,G1,,,0.0,270
374033.jpg,G,,,0.0,270
374033.jpg,J,,,0.0,270
374032.jpg,A1,15.06.2012,,0.9673848152160645,0
374032.jpg,A,,,0.0,0
374032.jpg,B1,,,0.0,0
374032.jpg,B,,,0.0,0
374032.jpg,C1,,,0.0,0
374032.jpg,C,,,0.0,0
374032.jpg,CE,,,0.0,0
374032.jpg,D1,,,0.0,0
374032.jpg,D,,,0.0,0
374032.jpg,DE,,,0.0,0
374032.jpg,G1,,,0.9640536308288574,0
374032.jpg,G,,,0.9835028052330017,0
374032.jpg,J,,,0.0,0
374030.jpg,A1,20.08.2012,,0.9790084362030029,0
374030.jpg,A,07.06.2012,,0.9304875135421753,0
374030.jpg,B1,,,0.9395513534545898,0
374030.jpg,B,,,0.957366943359375,0
374030.jpg,C1,,,0.9927916526794434,0
374030.jpg,C,,,0.8187416195869446,0
374030.jpg,CE,,,0.9959118366241455,0
374030.jpg,D1,,,0.996128261089325,0
374030.jpg,D,,,0.994838297367096,0
374030.jpg,DE,20.08.2012,,0.9982515573501587,0
374030.jpg,G1,,,0.9974180459976196,0
374030.jpg,G,,,0.9836283922195435,0
374030.jpg,J,,,0.9406655430793762,0
374029.jpg,A1,24.04.2019,24.04.2027,0.9987741708755493,270
374029.jpg,A,24.04.2019,24.04.2027,0.9994297623634338,270
374029.jpg,B1,24.04.2019,24.04.2027,0.9954378604888916,270
374029.jpg,B,24.04.2019,24.04.2027,0.99058997631073,270
374029.jpg,C1,,,0.9966148138046265,270
374029.jpg,C,,,0.8544401526451111,270
374029.jpg,CE,,,0.9965454339981079,270
374029.jpg,D1,,,0.9979618787765503,270
374029.jpg,D,,,0.9977900981903076,270
374029.jpg,DE,,,0.9984440803527832,270
374029.jpg,G1,24.04.2019,24.04.2027,0.9983621835708618,270
374029.jpg,G,,,0.9966726303100586,270
374029.jpg,J,,,0.9736607074737549,270
374028.jpg,A1,29.11.2010,21.12.2026,0.9966439604759216,270
374028.jpg,A,,,0.0,270
374028.jpg,B1,,,0.0,270
374028.jpg,B,,,0.0,270
374028.jpg,C1,,,0.0,270
374028.jpg,C,,,0.0,270
374028.jpg,CE,,,0.9964002966880798,270
374028.jpg,D1,,,0.9974374771118164,270
374028.jpg,D,,,0.9974013566970825,270
374028.jpg,DE,,,0.9984638690948486,270
374028.jpg,G1,29.11.2010,21.12.2025,0.9970177412033081,270
374028.jpg,G,,,0.9969184398651123,270
374028.jpg,J,,,0.983549952507019,270
374027.jpg,A1,19.07.2005,16.10.2027,0.9985917806625366,180
374027.jpg,A,19.07.2005,16.10.2027,0.9995287656784058,180
374027.jpg,B1,19.07.2005,16.10.2027,0.996749997138977,180
374027.jpg,B,19.07.2005,16.10.2027,0.9921445250511169,180
374027.jpg,C1,,,0.9961026906967163,180
374027.jpg,C,,,0.8186078667640686,180
374027.jpg,CE,,,0.995672345161438,180
374027.jpg,D1,,,0.9983247518539429,180
374027.jpg,D,,,0.9965577721595764,180
374027.jpg,DE,,,0.9985536336898804,180
374027.jpg,G1,19.07.2005,16.10.2027,0.9981008768081665,180
374027.jpg,G,,,0.9964839220046997,180
374027.jpg,J,,,0.0,180
374026.jpg,A1,29.03.2018,29.03.2026,0.996614933013916,270
374026.jpg,A,29.03.2018,29.03.2026,0.9975917339324951,270
374026.jpg,B1,29.03.2018,29.03.2026,0.9145524501800537,270
374026.jpg,B,,,0.9554802179336548,270
