image_name,vehicle_class,start_date,expiry_date,confidence,rotation_angle
374033.jpg,G,,,0.0,270
374033.jpg,J,,,0.0,270
374032.jpg,A1,15.06.2012,,0.9673849940299988,0
374032.jpg,A,,,0.0,0
374032.jpg,B1,,,0.0,0
374032.jpg,B,,,0.0,0
374032.jpg,C1,,,0.0,0
374032.jpg,C,,,0.0,0
374032.jpg,CE,,,0.0,0
374032.jpg,D1,,,0.0,0
374032.jpg,D,,,0.0,0
374032.jpg,DE,,,0.0,0
374032.jpg,G1,,,0.964053750038147,0
374032.jpg,G,,,0.9835028052330017,0
374032.jpg,J,,,0.0,0
374030.jpg,A1,20.08.2012,,0.979008674621582,0
374030.jpg,A,07.06.2012,,0.9304866790771484,0
374030.jpg,B1,,,0.9395517110824585,0
374030.jpg,B,,,0.9573670625686646,0
374030.jpg,C1,,,0.9927916526794434,0
374030.jpg,C,,,0.818742036819458,0
374030.jpg,CE,,,0.9959118366241455,0
374030.jpg,D1,,,0.996128261089325,0
374030.jpg,D,,,0.9948387742042542,0
374030.jpg,DE,20.08.2012,,0.9982516169548035,0
374030.jpg,G1,,,0.9974180459976196,0
374030.jpg,G,,,0.983628511428833,0
374030.jpg,J,,,0.9406656622886658,0
374029.jpg,A1,24.04.2019,24.04.2027,0.9987742900848389,270
374029.jpg,A,24.04.2019,24.04.2027,0.9994298815727234,270
374029.jpg,B1,24.04.2019,24.04.2027,0.9954378604888916,270
374029.jpg,B,24.04.2019,24.04.2027,0.99058997631073,270
374029.jpg,C1,,,0.9966148138046265,270
374029.jpg,C,,,0.854439914226532,270
374029.jpg,CE,,,0.9965453743934631,270
374029.jpg,D1,,,0.9979617595672607,270
374029.jpg,D,,,0.9977899789810181,270
374029.jpg,DE,,,0.9984441995620728,270
374029.jpg,G1,24.04.2019,24.04.2027,0.9983620643615723,270
374029.jpg,G,,,0.9966726303100586,270
374029.jpg,J,,,0.9736605882644653,270
374028.jpg,A1,29.11.2010,21.12.2026,0.9966440200805664,270
374028.jpg,A,,,0.0,270
374028.jpg,B1,,,0.0,270
374028.jpg,B,,,0.0,270
374028.jpg,C1,,,0.0,270
374028.jpg,C,,,0.0,270
374028.jpg,CE,,,0.9964002966880798,270
374028.jpg,D1,,,0.9974373579025269,270
374028.jpg,D,,,0.9974015951156616,270
374028.jpg,DE,,,0.9984637498855591,270
374028.jpg,G1,29.11.2010,21.12.2025,0.9970176219940186,270
374028.jpg,G,,,0.9969183206558228,270
374028.jpg,J,,,0.9835497140884399,270
374027.jpg,A1,19.07.2005,16.10.2027,0.9985917806625366,180
374027.jpg,A,19.07.2005,16.10.2027,0.9995286464691162,180
374027.jpg,B1,19.07.2005,16.10.2027,0.9967498779296875,180
374027.jpg,B,19.07.2005,16.10.2027,0.9921443462371826,180
374027.jpg,C1,,,0.9961025714874268,180
374027.jpg,C,,,0.8186079263687134,180
